Edward_Higgins_White, 1930-11-14, 2,13,93319
Edward_Witten, 1951-08-26, 2,2,608471
Emanuele_Giaccherini, 1985-05-05, 2,5,244619
Emil_Boc, 1966-09-06, 2,7,174241
Emil_Kraepelin, 1856-02-15, 2,13,92269
Emile_Berliner, 1851-05-20, 2,7,171233
Emily_Browning, 1988-12-07, 2,3,407917
Emily_Deschanel, 1976-10-11, 2,3,407177
Emily_Greene_Balch, 1867-01-08, 2,7,171641
Emma_Watson, 1990-04-15, 2,2,611999
Emmanuel_Joseph_Sieyès, 1748-05-03, 2,3,393271
Enver_Hoxha, 1908-10-16, 2,5,241823
Enya, 1961-05-17, 2,2,609359
Enzo_Ferrari, 1898-02-18, 2,241,5009
Eric_Hobsbawm, 1917-06-09, 2,2,605347
Eric_Idle, 1943-03-29, 2,2,607703
Erich_Maria_Remarque, 1898-06-22, 2,431,2801
Erik_Satie, 1866-05-17, 2,13,92413
Ernest_Renan, 1823-02-28, 2,73,16349
Ernst_Mayr, 1904-07-05, 2,7,172619
Eugene_Merle_Shoemaker, 1928-04-28, 2,2,606341
Eugène_de_Beauharnais, 1781-09-03, 2,61,19441
Eveline_Widmer-Schlumpf, 1956-03-16, 2,2,608887
Evliya_Çelebi, 1611-03-25, 2,2,577387
F._Scott_Fitzgerald, 1896-09-24, 2,47,25679
Fakhruddin_Ali_Ahmed, 1905-05-13, 2,23,52543
Faure_Gnassingbé, 1966-06-06, 2,3,406547
Ferenc_Szálasi, 1897-01-06, 2,5,241393
Fergie_(singer), 1975-03-27, 2,3,407083
Fernando_Hierro, 1968-03-23, 2,97,12577
Fernando_Redondo, 1969-06-06, 2,709,1721
Francis_Crick, 1916-06-08, 2,547,2213
Franco_Baresi, 1960-05-08, 2,3,406177
Frank_Capra, 1897-05-18, 2,7,172433
Frank_Darabont, 1959-01-28, 2,2,609149
Françoise_Barré-Sinoussi, 1947-07-30, 2,2,608099
Françoise_Sagan, 1935-06-21, 2,17,71411
Fred_Zinnemann, 1907-04-29, 2,3,402949
Frederick_Sanger, 1918-08-13, 2,7,172987
Frederick_VIII_of_Denmark, 1843-06-03, 2,3,399059
Frederick_William,_Elector_of_Brandenburg, 1620-02-16, 2,43,26893
Frida_Kahlo, 1907-07-06, 2,67,18043
Fridtjof_Nansen, 1861-10-10, 2,11,109139
Friedrich_Dürrenmatt, 1921-01-05, 2,107,11321
Friedrich_Hayek, 1899-05-08, 2,17,71023
Frits_Zernike, 1888-07-16, 2,19,63443
Frédéric_Kanouté, 1977-09-02, 2,2,610847
Gabriel_Cramer, 1704-07-31, 2,2,585911
Garry_Kasparov, 1963-04-13, 2,2,609533
Gary_Coleman, 1968-02-08, 2,3,406649
Gaston_Doumergue, 1863-08-01, 2,11,109169
Gavrilo_Princip, 1894-07-25, 2,13,92809
Geert_Wilders, 1963-09-06, 2,239,5101
Gene_Hackman, 1930-01-30, 2,11,110273
Gene_Wilder, 1933-06-11, 2,3,404539
George_Andrew_Olah, 1927-05-22, 2,157,7723
George_Berkeley, 1685-03-12, 2,2,584141
George_Clinton_(vice_president), 1739-07-26, 2,3,392737
George_Cukor, 1899-07-07, 2,37,32633
George_Foreman, 1949-01-10, 2,29,41947
George_Gershwin, 1898-09-26, 2,19,63541
George_H._W._Bush, 1924-06-12, 2,2,605987
George_I_of_Great_Britain, 1660-05-28, 2,5,232751
George_Meade, 1815-12-31, 2,11,108379
George_de_Hevesy, 1885-08-01, 2,31,38867
Georges_Pompidou, 1911-07-05, 2,13,93047
Georgi_Dimitrov, 1882-06-18, 2,13,92639
Georgy_Zhukov, 1896-12-01, 2,7,172421
Gerald_Ford, 1913-07-14, 2,3,403327
Gerard_Butler, 1969-11-13, 2,167,7307
Gerard_Piqué, 1987-02-02, 2,2,611707
Gerard_Way, 1977-04-09, 2,3,407207
Gerd_Binnig, 1947-07-20, 2,11,110563
Gerd_von_Rundstedt, 1875-12-12, 2,3,401039
Gerty_Cori, 1896-08-15, 2,29,41617
Giacomo_Casanova, 1725-04-02, 2,137,8581
Giambattista_Vico, 1668-06-23, 2,13,89633
Gilad_Shalit, 1986-08-28, 2,5,244667
Giosuè_Carducci, 1835-07-27, 2,3,398581
Giovanni_Ribisi, 1974-12-17, 2,7,174457
Giulietta_Masina, 1921-02-22, 2,7,173053
Giuseppe_Favalli, 1972-01-08, 2,2,610331
Giuseppe_Peano, 1858-08-27, 2,673,1783
Gloria_Estefan, 1957-09-01, 2,11,110731
Goodluck_Jonathan, 1957-11-20, 2,3,406027
Gordon_Moore, 1929-01-03, 2,3,404269
Graham_Chapman, 1941-01-08, 2,947,1283
Greg_Cipes, 1980-01-04, 2,127,9623
Gregory_van_der_Wiel, 1988-02-03, 2,29,42193
Greta_Garbo, 1905-09-18, 2,3,402851
Grigori_Rasputin, 1869-01-21, 2,443,2713
Grigory_Zinoviev, 1883-09-23, 2,2,602269
Grover_Cleveland, 1837-03-18, 2,3,398681
Guillermo_Stábile, 1905-01-17, 2,7,172633
Gustav_Ludwig_Hertz, 1887-07-22, 2,11,109567
Guus_Hiddink, 1946-11-08, 2,2,608033
Guy_Verhofstadt, 1953-04-11, 2,449,2711
Guy_de_Maupassant, 1850-08-05, 2,151,7937
Halldór_Laxness, 1902-04-23, 2,73,16547
Hana_Mandlíková, 1962-02-19, 2,71,17167
Hank_Azaria, 1964-04-25, 2,5,243851
Hans_Eysenck, 1916-03-04, 2,97,12479
Hans_Frank, 1900-05-23, 2,3,402527
Hans_Luther, 1879-03-10, 2,13,92593
Harald_zur_Hausen, 1936-03-11, 2,19,63901
Harry_Mulisch, 1927-07-29, 2,5,242509
Harvey_Keitel, 1939-05-13, 2,2,607349
Hattie_McDaniel, 1895-06-10, 2,17,70981
Heinrich_von_Kleist, 1777-10-18, 2,157,7549
Heinz-Harald_Frentzen, 1967-05-18, 2,2,609907
Helen_Clark, 1950-02-26, 2,1039,1171
Helen_Hayes, 1900-10-10, 2,241,5011
